"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RORC",55.7716720685152,0.177117962955668,0.346651396919604,0.510939706372352,0.609393276601238,0.756553646308641
"FHL2",279.051680740876,-0.259299860758326,0.507575014561877,-0.510860174987426,0.609448969407949,0.756553646308641
"HSD17B3",6.37264758565397,0.321455900915784,0.629267691624785,0.510841260713349,0.609462214688426,0.756553646308641
"KLHL34",6.35631902875266,-0.398594729444591,0.780151689380567,-0.510919523562233,0.609407409641957,0.756553646308641
"C1orf85",454.466697843899,-0.193107117790069,0.378358226976148,-0.510381707128157,0.609784070015055,0.756817208746306
"VGLL4",495.794092237561,0.119110060761583,0.233339809240917,0.510457521796485,0.609730966860024,0.756817208746306
"WIF1",2.19733703919791,0.574126444193627,1.12484600339123,0.510404484225152,0.609768115950869,0.756817208746306
"ZNF98",2.21928737445392,0.562890808613687,1.10323256798735,0.510219535705496,0.609897667256708,0.756912875517725
"RP5-1074L1.1",11.2263088186329,-0.252175626282844,0.494416939749319,-0.510046493169718,0.610018889821694,0.757017993667249
"COX19",310.534711537021,0.115768208299496,0.227053621259374,0.509871666689907,0.610141372969659,0.75712466348869
"TMEM150C",391.837003842115,0.157670716564856,0.309447982136802,0.509522522900641,0.610386015215017,0.757382898735521
"LOC102724129",31.507455726717,0.221219351468945,0.434511872233273,0.509121535234327,0.610667037745918,0.757640890548715
"FTCD",2.74518340992638,0.652818229888488,1.28212737787123,0.509167997779119,0.610634472652836,0.757640890548715
"DHRS3",466.639262347856,-0.284544086995067,0.559135745651272,-0.508899831942662,0.61082243778225,0.757756028018119
"XIAP",1275.72734862723,0.0878240645341545,0.172581416103522,0.508884829647439,0.610832954079253,0.757756028018119
"HLA-A_1",45.9723456212247,-0.513599637453254,1.00963050906949,-0.508700591790363,0.610962107532746,0.757870889583409
"AGER_6",1.42974905585326,1.01584226053966,1.99719445556917,0.508634628794899,0.611008351507891,0.757882898094403
"LOC100288846",2.83538629775455,0.530928871722753,1.04396024503153,0.508571925271653,0.611052311837995,0.757892072748801
"C6orf89",1651.66529326239,-0.07438962668197,0.146361939098893,-0.508258001635977,0.611272419217213,0.758111011984657
"NPRL3",445.432899035098,0.101039967242972,0.198813099620609,0.508215844105769,0.611301980620975,0.758111011984657
"LOC729162",4.80899660657996,-0.753616897884677,1.48312519324898,-0.508127635694586,0.611363835545236,0.758142362140691
"RNF168",524.699637722599,-0.0707756128298569,0.139341333109454,-0.507929781138679,0.611502588390177,0.758224527855104
